epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2757200300693512,2.0738685131073,1e-04,0.2978515625,1.855852723121643
1,0.3433758020401001,1.7898176908493042,1e-04,0.3840680718421936,1.638316035270691
2,0.3827544152736664,1.6747256517410278,1e-04,0.4108538031578064,1.5476551055908203
3,0.4047826826572418,1.604370355606079,1e-04,0.4228515625,1.5956350564956665
4,0.43065106868743896,1.531917691230774,1e-04,0.4500558078289032,1.463518500328064
5,0.4526793360710144,1.4699020385742188,1e-04,0.4609375,1.439907431602478
6,0.4709024131298065,1.419370174407959,1e-04,0.4776785671710968,1.4148218631744385
7,0.4837842583656311,1.3798736333847046,1e-04,0.4800502359867096,1.398112177848816
8,0.5049397945404053,1.332383632659912,1e-04,0.4895368218421936,1.361111044883728
9,0.5210333466529846,1.2908254861831665,1e-04,0.5207868218421936,1.2829763889312744
10,0.5327980518341064,1.253342866897583,1e-04,0.5174385905265808,1.2796869277954102
11,0.5427125096321106,1.222632884979248,1e-04,0.5248326063156128,1.2794466018676758
12,0.5566765666007996,1.1868298053741455,1e-04,0.5037667155265808,1.3231295347213745
13,0.5712340474128723,1.1518617868423462,1e-04,0.5456194281578064,1.2345101833343506
14,0.5812183618545532,1.124351978302002,1e-04,0.5514788031578064,1.23531174659729
15,0.5928085446357727,1.094773530960083,1e-04,0.5285993218421936,1.2916873693466187
16,0.6020247936248779,1.0608243942260742,1e-04,0.5546875,1.2228338718414307
17,0.6105777621269226,1.0511093139648438,1e-04,0.5584542155265808,1.228812575340271
18,0.6236341595649719,1.0173413753509521,1e-04,0.5588727593421936,1.2126814126968384
19,0.6332693099975586,0.9935858845710754,1e-04,0.5625,1.2292635440826416
20,0.6421713829040527,0.9642053842544556,1e-04,0.5719866156578064,1.2113227844238281
21,0.6561354398727417,0.9369808435440063,1e-04,0.5758928656578064,1.2076919078826904
22,0.6614418029785156,0.9228410124778748,1e-04,0.5754743218421936,1.221039891242981
23,0.6725780963897705,0.8932209610939026,1e-04,0.5711495280265808,1.1997995376586914
24,0.677605152130127,0.8763304948806763,1e-04,0.5542689561843872,1.259748101234436
25,0.68720543384552,0.8548623919487,1e-04,0.5804966688156128,1.2087109088897705
26,0.6924419403076172,0.8302708268165588,1e-04,0.5626395344734192,1.294656753540039
27,0.7036830186843872,0.8105629086494446,1e-04,0.5791015625,1.23720383644104
28,0.7071740031242371,0.7946867346763611,1e-04,0.5756138563156128,1.2616266012191772
29,0.7166346907615662,0.7692158818244934,1e-04,0.5853794813156128,1.2375423908233643
30,0.7261301875114441,0.7485623359680176,1e-04,0.5859375,1.2542930841445923
31,0.7291674017906189,0.7390586733818054,1e-04,0.5899832844734192,1.234918475151062
32,0.7355559468269348,0.7183283567428589,1e-04,0.5904017686843872,1.2312381267547607
33,0.7516145706176758,0.6903935074806213,1e-04,0.5929129719734192,1.2487727403640747
